NodeA,NodeA,Distance
1,2,3.611832e+02
1,3,3.947800e+02
1,4,4.718780e+02
2,1,3.542691e+02
2,3,4.575312e+02
2,4,2.830731e+02
2,8,4.820831e+02
3,1,3.903791e+02
3,2,4.379593e+02
3,4,2.757161e+02
3,5,3.677306e+02
3,6,4.149125e+02
3,7,4.358697e+02
3,8,2.837574e+02
3,9,4.423881e+02
4,2,2.876853e+02
4,3,2.734026e+02
4,5,4.210894e+02
4,6,3.761224e+02
4,7,4.081903e+02
4,8,1.987883e+02
5,3,3.671859e+02
5,4,4.423591e+02
5,6,1.875738e+02
5,8,2.514678e+02
6,3,4.307192e+02
6,4,3.649243e+02
6,5,1.780917e+02
6,7,8.366724e+01
6,8,1.749122e+02
7,3,4.341352e+02
7,4,4.186094e+02
7,5,1.132751e+02
7,6,7.897853e+01
7,8,2.196399e+02
7,9,1.765376e+02
8,2,4.767792e+02
8,3,3.037836e+02
8,4,1.972635e+02
8,5,2.588670e+02
8,6,1.831710e+02
8,7,2.175171e+02
8,9,3.399011e+02
9,3,4.401578e+02
9,5,1.003145e+02
9,6,2.520047e+02
9,8,3.513674e+02
