NodeA,NodeA,Distance
1,2,3.557902e+02
1,3,3.918059e+02
2,1,3.557902e+02
2,3,4.451718e+02
2,4,4.142729e+02
3,1,3.918059e+02
3,2,4.451718e+02
3,4,3.202992e+02
3,5,3.757172e+02
3,6,4.297637e+02
3,7,4.285876e+02
3,8,2.763924e+02
3,9,4.505733e+02
4,2,4.142729e+02
4,3,3.202992e+02
4,5,3.436627e+02
4,6,2.403701e+02
4,7,3.002205e+02
4,8,2.793829e+02
4,9,4.379785e+02
5,3,3.757172e+02
5,4,3.436627e+02
5,6,1.821860e+02
5,7,1.119513e+02
5,8,1.010258e+02
5,9,9.544892e+01
6,3,4.297637e+02
6,4,2.403701e+02
6,5,1.821860e+02
6,7,8.138536e+01
6,8,2.009825e+02
6,9,2.527290e+02
7,3,4.285876e+02
7,4,3.002205e+02
7,5,1.119513e+02
7,6,8.138536e+01
7,8,1.655084e+02
7,9,1.719656e+02
8,3,2.763924e+02
8,4,2.793829e+02
8,5,1.010258e+02
8,6,2.009825e+02
8,7,1.655084e+02
8,9,1.880715e+02
9,3,4.505733e+02
9,4,4.379785e+02
9,5,9.544892e+01
9,6,2.527290e+02
9,7,1.719656e+02
9,8,1.880715e+02
