NodeA,NodeB,Distance
A1,A2,21.625
A1,B,16.5
A1,C1,13.25
A1,C2,12.375
A1,C3,12.25
A1,C4,13.875
A1,C5,12.625
A1,C6,16.75
A1,C7,23.75
A2,B,19.75
A2,C1,15
A2,C2,15.125
A2,C3,13.75
A2,C4,13.875
A2,C5,12.875
A2,C6,13.125
A2,C7,23.25
B,C1,5.625
B,C2,6.125
B,C3,7.375
B,C4,6.375
B,C5,7.625
B,C6,6.75
B,C7,7.375
C1,C2,0.875
C1,C3,1.71875
C1,C4,1.1875
C1,C5,2.15625
C1,C6,4
C1,C7,11.9375
C2,C3,1.375
C2,C4,1.75
C2,C5,2.28125
C2,C6,4.71875
C2,C7,12.75
C3,C4,1.625
C3,C5,1.1875
C3,C6,4.46875
C3,C7,13.5
C4,C5,1.25
C4,C6,3
C4,C7,12
C5,C6,3.4375
C5,C7,13.25
C6,C7,10.9375
